N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
16,3,4,8,5,0.9874,0.9433,0.1539,0.7870,0.9369,0.8682,0.6794,0.6276,0.0397,0.1100,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9983,0.9792,0.9863,0.9386,0.8206,0.6871,0.0132,0.0500
16,3,6,8,5,0.8381,0.8244,0.3593,0.7652,0.6673,0.6321,0.3745,0.4729,0.0397,0.3300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9765,0.9371,0.9267,0.8609,0.6444,0.6219,0.0132,0.1100
16,3,8,8,5,0.4886,0.4456,0.3390,0.4417,0.2979,0.1738,0.0959,0.2445,0.0397,0.9500,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.8804,0.8476,0.7330,0.6777,0.4210,0.4882,0.0132,0.2900
16,4,2,8,5,1.0000,0.9985,0.0120,0.7569,0.9987,0.9828,0.8871,0.7373,0.0529,0.0200,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,1.0000,0.9995,0.9991,0.9847,0.8878,0.7397,0.0132,0.0200
16,4,4,8,5,0.9934,0.9570,0.1093,0.7897,0.9643,0.8980,0.7358,0.6523,0.0529,0.0800,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9983,0.9792,0.9863,0.9386,0.8206,0.6871,0.0132,0.0500
16,4,6,8,5,0.9148,0.8606,0.3178,0.7718,0.7816,0.7269,0.4635,0.5307,0.0529,0.2200,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9765,0.9371,0.9267,0.8609,0.6444,0.6219,0.0132,0.1100
16,4,8,8,5,0.6170,0.6187,0.3598,0.6058,0.4298,0.3296,0.1766,0.3068,0.0529,0.6300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.8804,0.8476,0.7330,0.6777,0.4210,0.4882,0.0132,0.2900
16,2,2,16,5,1.0000,1.0000,0.0069,0.8136,0.9968,0.9987,0.8255,0.6189,0.0410,0.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,1.0000,1.0000,0.9994,1.0000,0.8336,0.6277,0.0205,0.0000
16,2,4,16,5,0.9883,0.9582,0.1733,0.8442,0.9470,0.8909,0.7222,0.5339,0.0410,0.1000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9997,1.0000,0.9937,0.9900,0.8089,0.5973,0.0205,0.0100
16,2,6,16,5,0.9253,0.8432,0.5329,0.7689,0.7860,0.7438,0.4470,0.4557,0.0410,0.1700,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9940,0.9946,0.9779,0.9454,0.7750,0.5649,0.0205,0.0600
